"  DateTime","Temp.[C]"
"2020/9/21 9:01:21","+34.2516"
"2020/9/21 9:01:41","+34.3139"
"2020/9/21 9:02:01","+34.2516"
"2020/9/21 9:02:21","+34.2516"
"2020/9/21 9:02:41","+34.1269"
"2020/9/21 9:03:01","+34.0645"
"2020/9/21 9:03:21","+33.9398"
"2020/9/21 9:03:41","+33.9398"
"2020/9/21 9:04:01","+33.9398"
"2020/9/21 9:04:21","+33.9398"
"2020/9/21 9:04:41","+33.9398"
"2020/9/21 9:05:01","+33.9398"
"2020/9/21 9:05:21","+33.6279"
"2020/9/21 9:05:41","+33.0042"
"2020/9/21 9:06:01","+32.4428"
"2020/9/21 9:06:21","+31.6316"
"2020/9/21 9:06:41","+30.9452"
"2020/9/21 9:07:01","+30.4459"
"2020/9/21 9:07:21","+30.0713"
"2020/9/21 9:07:41","+29.6343"
"2020/9/21 9:08:01","+29.2597"
"2020/9/21 9:08:21","+29.0100"
"2020/9/21 9:08:41","+28.7602"
"2020/9/21 9:09:01","+28.5729"
"2020/9/21 9:09:21","+28.3855"
"2020/9/21 9:09:41","+28.2606"
"2020/9/21 9:10:01","+28.1357"
"2020/9/21 9:10:21","+28.0108"
"2020/9/21 9:10:41","+27.8859"
"2020/9/21 9:11:01","+27.7610"
"2020/9/21 9:11:21","+27.6985"
"2020/9/21 9:11:41","+27.6360"
"2020/9/21 9:12:01","+27.5736"
"2020/9/21 9:12:21","+27.5111"
"2020/9/21 9:12:41","+27.4486"
"2020/9/21 9:13:01","+27.3862"
"2020/9/21 9:13:21","+27.3237"
"2020/9/21 9:13:41","+27.2612"
"2020/9/21 9:14:01","+27.1988"
"2020/9/21 9:14:21","+27.1988"
"2020/9/21 9:14:41","+27.1363"
"2020/9/21 9:15:01","+27.0738"
"2020/9/21 9:15:21","+27.0738"
"2020/9/21 9:15:41","+27.0114"
"2020/9/21 9:16:01","+27.0114"
"2020/9/21 9:16:21","+26.9489"
"2020/9/21 9:16:41","+26.9489"
"2020/9/21 9:17:01","+26.9489"
"2020/9/21 9:17:21","+26.8864"
"2020/9/21 9:17:41","+26.8864"
"2020/9/21 9:18:01","+26.8864"
"2020/9/21 9:18:21","+26.8239"
"2020/9/21 9:18:41","+26.8239"
"2020/9/21 9:19:01","+26.8239"
"2020/9/21 9:19:21","+26.7615"
"2020/9/21 9:19:41","+26.7615"
"2020/9/21 9:20:01","+26.7615"
"2020/9/21 9:20:21","+26.7615"
"2020/9/21 9:20:41","+26.6990"
"2020/9/21 9:21:01","+26.6990"
"2020/9/21 9:21:21","+26.6990"
"2020/9/21 9:21:41","+26.6990"
"2020/9/21 9:22:01","+26.6990"
